corner,vdd_v,temperature_c,differential_v,common_mode_ratio,pair_skew,trim_code,load_ff,max_step_ps,design_name,source_resistance_ohm,sample_cap_ff,previous_differential_v,case_id,policy,input_mv,deadline_ns,policy_available,decision,outcome,decision_time_ns,core_energy_fj,reset_ok,qp_at_deadline_v,qn_at_deadline_v,run_id,initial_run_id,numerically_refined
tt,1.62,-40.0,0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.5,0.35,True,0.0,unresolved,,95.76260145108736,True,1.5080299623932305,1.4327073677358948,6dffe48e29d8750222a320ab,6dffe48e29d8750222a320ab,False
tt,1.62,-40.0,0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.5,0.5,True,0.0,unresolved,,95.76260145108736,True,1.3643610549473233,1.2289948309151597,6dffe48e29d8750222a320ab,6dffe48e29d8750222a320ab,False
tt,1.62,-40.0,0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.5,0.75,True,0.0,unresolved,,95.76260145108736,True,1.2135252821532574,0.928089328109246,6dffe48e29d8750222a320ab,6dffe48e29d8750222a320ab,False
tt,1.62,-40.0,0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.5,1.0,True,0.0,unresolved,,95.76260145108736,True,1.1952851885039626,0.644702558600172,6dffe48e29d8750222a320ab,6dffe48e29d8750222a320ab,False
tt,1.62,-40.0,0.0005,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,0.5,2.0,True,1.0,correct,1.3138221682956996,95.76260145108736,True,1.6192972387591795,0.0672719038960985,6dffe48e29d8750222a320ab,6dffe48e29d8750222a320ab,False
tt,1.62,-40.0,0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,1.0,0.25,True,0.0,unresolved,,95.57031276910278,True,1.6151499728070025,1.5818231641457725,e282c5ccc116bdf62f16271c,e282c5ccc116bdf62f16271c,False
tt,1.62,-40.0,0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,1.0,0.35,True,0.0,unresolved,,95.57031276910278,True,1.5106335893822282,1.4298299445783589,e282c5ccc116bdf62f16271c,e282c5ccc116bdf62f16271c,False
tt,1.62,-40.0,0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,1.0,0.5,True,0.0,unresolved,,95.57031276910278,True,1.3690056367262031,1.2239135949008937,e282c5ccc116bdf62f16271c,e282c5ccc116bdf62f16271c,False
tt,1.62,-40.0,0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,1.0,0.75,True,0.0,unresolved,,95.57031276910278,True,1.2228917674565123,0.9182545602810464,e282c5ccc116bdf62f16271c,e282c5ccc116bdf62f16271c,False
tt,1.62,-40.0,0.001,0.5,0.04,0.0,5.0,10.0,baseline,0.0,0.0,,TT | 1.62 V | -40 C | skew +4%,code_zero,1.0,1.0,True,0.0,unresolved,,95.57031276910278,True,1.2142435310164177,0.6276343208875719,e282c5ccc116bdf62f16271c,e282c5ccc116bdf62f16271c,False
