corner,vdd_v,temperature_c,mode,differential_mv,max_step_ps,numerically_audited,run_id,reset_ok,outcome_at_1ns,decision_at_1ns,latency_at_1ns_ns,core_energy_fj,outcome_at_2ns,latency_at_2ns_ns,qp_at_1ns_v,qn_at_1ns_v
ff,1.95,-40,rc,10.0,10,False,009e8db8a14ba6ab02bf17e4,True,correct,1,0.4486810162669605,605.8275536174958,correct,0.4486810162669605,1.9496581880862611,0.005238036001497426
ff,1.95,125,schematic,-10.0,10,False,27085f5049d30b71b59738d9,True,correct,-1,0.17439256818040813,333.7664706521976,correct,0.17439256818040813,0.0012396073371895512,1.9499895159692653
ff,1.95,125,schematic,-3.0,10,False,994104b6bf9711f16e132fdd,True,correct,-1,0.20444588495925042,341.2560303648797,correct,0.20444588495925042,0.0012752906005663665,1.949988456151873
ff,1.95,125,schematic,3.0,10,False,e8fd4b278a981aee3012d5c0,True,correct,1,0.20444588497556904,341.25603036430874,correct,0.20444588497556904,1.949988456151854,0.001275290600541872
ff,1.95,125,schematic,10.0,10,False,5c52a1b85e8432528fd840af,True,correct,1,0.1743925682598605,333.76647065710847,correct,0.1743925682598605,1.949989515969305,0.0012396073372700647
ff,1.95,125,lvs,-10.0,10,False,859c6a15349ab9b14fc8f6c8,True,correct,-1,0.17467887214656078,333.7884757871349,correct,0.17467887214656078,0.0012400889969799286,1.9499899035418162
ff,1.95,125,lvs,-3.0,10,False,e6ca7f14942fadcb6ae9d14b,True,correct,-1,0.20474121017093116,341.27948381087725,correct,0.20474121017093116,0.0012758047911993727,1.9499888599311164
ff,1.95,125,lvs,3.0,10,False,748e240e2733385f3ccf384f,True,correct,1,0.20396774703447001,341.2001638832596,correct,0.20396774703447001,1.9499902625764904,0.0012770693267314334
ff,1.95,125,lvs,10.0,10,False,971478921859863ab8abf9f5,True,correct,1,0.1750777892953613,333.7742768275223,correct,0.1750777892953613,1.9499913818654722,0.00124125362645022
ff,1.95,125,c,-10.0,10,False,6ca8a2e54f3c077816a3d8d8,True,correct,-1,0.39275368275097955,561.9329778778084,correct,0.39275368275097955,0.007053269622726909,1.9497165655385957
ff,1.95,125,c,-3.0,10,False,e7b1e708c03eec0d0819c31e,True,correct,-1,0.4569658284393705,580.2260303593042,correct,0.4569658284393705,0.008349963704793437,1.9496595216616766
ff,1.95,125,c,3.0,10,False,8c9d226906a02104b8aa54db,True,correct,1,0.4591710833429789,581.9242379624312,correct,0.4591710833429789,1.9496535360250968,0.008474178069356549
ff,1.95,125,c,10.0,10,False,1a4936d45718ce76c0eca512,True,correct,1,0.38910901966029915,562.4402772395913,correct,0.38910901966029915,1.949715767678113,0.00707958433821511
ff,1.95,125,rc,-10.0,10,False,eb63c2aec8e01137f993dba0,True,correct,-1,0.5397074609047589,692.8433322258658,correct,0.5397074609047589,0.03284554572508524,1.9486833437999498
ff,1.95,125,rc,-3.0,10,False,1ffef1b6548eb6b3fcd59dcb,True,correct,-1,0.6208465742745607,715.8363461610567,correct,0.6208465742745607,0.03957181003837184,1.9482168379982896
ff,1.95,125,rc,3.0,10,False,40b861fdb9f995010f282c8f,True,correct,1,0.6220146203529199,715.4444517581344,correct,0.6220146203529199,1.9482300111254607,0.03942004890510076
ff,1.95,125,rc,10.0,10,False,02fb6fb2b61cae9f948e4db0,True,correct,1,0.5324195466306402,692.7704382729169,correct,0.5324195466306402,1.9486845932612167,0.0328117222520587
