Using SPARSE 1.3 as Direct Linear Solver

Note: Compatibility modes selected: hs a


Circuit: comparator atlas: nominal published 27-device matched layout experiment

option SCALE: Scale is set to 1e-06 for instance and model parameters
Doing analysis at TEMP = 125.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
          l                 1e-06                 1e-06               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x5.msky130_fd_ m.xdut.x4.msky130_fd_ m.xdut.x3.msky130_fd_
      model xdut.x5:sky130_fd_pr_ xdut.x4:sky130_fd_pr_ xdut.x3:sky130_fd_pr_
          w                 3e-06                 2e-06                 2e-06
          l               1.5e-07               1.5e-07               1.5e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.x2.msky130_fd_ m.xdut.x1.msky130_fd_ m.xdut.x0.msky130_fd_
      model xdut.x2:sky130_fd_pr_ xdut.x1:sky130_fd_pr_ xdut.x0:sky130_fd_pr_
          w               4.2e-07                 7e-06                 1e-06
          l                 1e-06               1.5e-07               1.5e-07

 Capacitor: Fixed capacitor
     device                   cqn                   cqp           c.xdut.c318
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c317           c.xdut.c316           c.xdut.c315
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c314           c.xdut.c313           c.xdut.c312
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c311           c.xdut.c310           c.xdut.c309
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c308           c.xdut.c307           c.xdut.c306
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c305           c.xdut.c304           c.xdut.c303
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c302           c.xdut.c301           c.xdut.c300
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c299           c.xdut.c298           c.xdut.c297
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c296           c.xdut.c295           c.xdut.c294
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c293           c.xdut.c292           c.xdut.c291
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c290           c.xdut.c289           c.xdut.c288
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c287           c.xdut.c286           c.xdut.c285
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c284           c.xdut.c283           c.xdut.c282
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c281           c.xdut.c280           c.xdut.c279
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c278           c.xdut.c277           c.xdut.c276
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c275           c.xdut.c274           c.xdut.c273
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c272           c.xdut.c271           c.xdut.c270
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c269           c.xdut.c268           c.xdut.c267
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c266           c.xdut.c265           c.xdut.c264
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c263           c.xdut.c262           c.xdut.c261
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c260           c.xdut.c259           c.xdut.c258
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c257           c.xdut.c256           c.xdut.c255
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c254           c.xdut.c253           c.xdut.c252
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c251           c.xdut.c250           c.xdut.c249
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c248           c.xdut.c247           c.xdut.c246
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c245           c.xdut.c244           c.xdut.c243
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c242           c.xdut.c241           c.xdut.c240
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c239           c.xdut.c238           c.xdut.c237
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c236           c.xdut.c235           c.xdut.c234
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c233           c.xdut.c232           c.xdut.c231
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c230           c.xdut.c229           c.xdut.c228
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c227           c.xdut.c226           c.xdut.c225
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c224           c.xdut.c223           c.xdut.c222
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c221           c.xdut.c220           c.xdut.c219
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

 Capacitor: Fixed capacitor
     device           c.xdut.c218           c.xdut.c217           c.xdut.c216
      model                     C                     C                     C
          w                 1e-05                 1e-05                 1e-05
          l                     0                     0                     0

